
[2023-01-19T19:38:05.155] [WARN] warnArchive - Estado: 404, Ruta consultada: /avatar/1672625908293-hermione.png, Metodo GET
[2023-01-19T19:38:07.673] [WARN] warnArchive - Estado: 404, Ruta consultada: /formProductos.js, Metodo GET
[2023-01-19T19:38:14.134] [WARN] warnArchive - Estado: 404, Ruta consultada: /formProductos.js, Metodo GET
[2023-01-19T19:38:49.690] [WARN] warnArchive - Estado: 404, Ruta consultada: /formProductos.js, Metodo GET
[2023-01-19T19:39:03.525] [WARN] warnArchive - Estado: 404, Ruta consultada: /formProductos.js, Metodo GET
[2023-01-19T19:39:16.819] [WARN] warnArchive - Estado: 404, Ruta consultada: /formProductos.js, Metodo GET
[2023-01-19T19:39:23.978] [WARN] warnArchive - Estado: 404, Ruta consultada: /formProductos.js, Metodo GET
[2023-01-19T19:39:40.982] [WARN] warnArchive - Estado: 404, Ruta consultada: /formProductos.js, Metodo GET
[2023-01-19T19:39:53.943] [WARN] warnArchive - Estado: 404, Ruta consultada: /avatar/1672625908293-hermione.png, Metodo GET
[2023-01-19T19:39:56.589] [WARN] warnArchive - Estado: 404, Ruta consultada: /formProductos.js, Metodo GET
[2023-01-19T19:40:04.280] [WARN] warnArchive - Estado: 404, Ruta consultada: /formProductos.js, Metodo GET
[2023-01-19T19:40:15.999] [WARN] warnArchive - Estado: 404, Ruta consultada: /chat.css, Metodo GET
[2023-01-19T19:40:16.009] [WARN] warnArchive - Estado: 404, Ruta consultada: /chat.js, Metodo GET
[2023-01-19T19:40:59.114] [WARN] warnArchive - Estado: 404, Ruta consultada: /formProductos.js, Metodo GET
[2023-01-19T19:41:12.799] [WARN] warnArchive - Estado: 404, Ruta consultada: /chat.css, Metodo GET
[2023-01-19T19:41:12.850] [WARN] warnArchive - Estado: 404, Ruta consultada: /chat.js, Metodo GET
[2023-01-19T19:42:52.841] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-01-19T19:51:14.638] [WARN] warnArchive - Estado: 404, Ruta consultada: /profile, Metodo GET
[2023-01-19T23:49:17.096] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-01-19T23:50:01.038] [WARN] warnArchive - Estado: 404, Ruta consultada: /profile, Metodo GET
[2023-01-19T23:51:25.238] [WARN] warnArchive - Estado: 404, Ruta consultada: /avatar/, Metodo GET
[2023-01-19T23:51:54.879] [WARN] warnArchive - Estado: 404, Ruta consultada: /avatar/, Metodo GET
[2023-01-19T23:55:33.049] [WARN] warnArchive - Estado: 404, Ruta consultada: /avatar/, Metodo GET
[2023-01-19T23:55:39.899] [WARN] warnArchive - Estado: 404, Ruta consultada: /avatar/, Metodo GET
[2023-01-19T23:56:40.914] [WARN] warnArchive - Estado: 404, Ruta consultada: /avatar/, Metodo GET
[2023-01-19T23:57:32.704] [WARN] warnArchive - Estado: 404, Ruta consultada: /avatar/, Metodo GET
[2023-01-20T00:12:52.362] [WARN] warnArchive - Estado: 404, Ruta consultada: /avatar/, Metodo GET
[2023-01-20T00:30:43.694] [WARN] warnArchive - Estado: 404, Ruta consultada: /avatar/, Metodo GET
[2023-01-20T00:35:08.993] [WARN] warnArchive - Estado: 404, Ruta consultada: /avatar/, Metodo GET
[2023-01-20T00:53:53.970] [WARN] warnArchive - Estado: 404, Ruta consultada: /avatar/, Metodo GET
[2023-01-20T01:00:58.519] [WARN] warnArchive - Estado: 404, Ruta consultada: /avatar/, Metodo GET
[2023-01-20T01:08:39.617] [WARN] warnArchive - Estado: 404, Ruta consultada: /avatar/, Metodo GET
[2023-01-20T10:14:56.347] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-01-20T10:30:43.948] [WARN] warnArchive - Estado: 404, Ruta consultada: /avatar/, Metodo GET
[2023-01-20T10:44:39.303] [WARN] warnArchive - Estado: 404, Ruta consultada: /chat.css, Metodo GET
[2023-01-20T10:44:48.491] [WARN] warnArchive - Estado: 404, Ruta consultada: /avatar/, Metodo GET
[2023-01-20T10:49:21.804] [WARN] warnArchive - Estado: 404, Ruta consultada: /avatar/, Metodo GET
[2023-01-20T10:49:31.251] [WARN] warnArchive - Estado: 404, Ruta consultada: /avatar/, Metodo GET
[2023-01-20T17:30:37.221] [WARN] warnArchive - Estado: 404, Ruta consultada: /avatar/, Metodo GET
[2023-01-20T17:51:00.274] [WARN] warnArchive - Estado: 404, Ruta consultada: /chat.css, Metodo GET
[2023-01-20T17:51:07.156] [WARN] warnArchive - Estado: 404, Ruta consultada: /avatar/, Metodo GET
[2023-01-20T18:13:13.439] [WARN] warnArchive - Estado: 404, Ruta consultada: /chat.css, Metodo GET
[2023-01-20T18:18:37.798] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-01-20T18:21:01.311] [WARN] warnArchive - Estado: 404, Ruta consultada: /chat.css, Metodo GET
[2023-01-20T18:21:08.341] [WARN] warnArchive - Estado: 404, Ruta consultada: /avatar/, Metodo GET
[2023-01-20T19:00:42.858] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-01-20T19:38:56.694] [WARN] warnArchive - Estado: 404, Ruta consultada: /chat.css, Metodo GET
[2023-01-20T19:45:21.756] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-01-20T19:49:34.162] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-01-20T19:56:25.117] [WARN] warnArchive - Estado: 404, Ruta consultada: /avatar/, Metodo GET
[2023-01-20T19:56:27.678] [WARN] warnArchive - Estado: 404, Ruta consultada: /avatar/, Metodo GET
[2023-01-20T20:00:22.402] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-01-20T20:04:01.665] [WARN] warnArchive - Estado: 404, Ruta consultada: /chat.css, Metodo GET
[2023-01-20T20:22:26.458] [WARN] warnArchive - Estado: 404, Ruta consultada: /avatar/, Metodo GET
[2023-01-20T20:38:08.082] [WARN] warnArchive - Estado: 404, Ruta consultada: /chat.css, Metodo GET
[2023-01-20T21:11:25.906] [WARN] warnArchive - Estado: 404, Ruta consultada: /avatar/, Metodo GET
[2023-01-20T22:03:37.309] [WARN] warnArchive - Estado: 404, Ruta consultada: /avatar/, Metodo GET
[2023-01-20T22:17:53.921] [WARN] warnArchive - Estado: 404, Ruta consultada: /avatar/, Metodo GET
[2023-01-20T22:26:00.099] [WARN] warnArchive - Estado: 404, Ruta consultada: /avatar/, Metodo GET
[2023-01-22T19:16:27.888] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
